                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0781,                 1.0718,                 1.5807,                0.68454,                 0.5752,                0.63125,                0.52273,                 1.3811,                 1.3393,                 1.8365,             0.00054928,             0.00054928,             0.00054928
                      2,                0.89173,                0.81111,                 1.4229,                0.80495,                0.59672,                0.68666,                0.53352,                 1.2932,                 1.4506,                 1.7173,              0.0010685,              0.0010685,              0.0010685
                      3,                0.90012,                0.85115,                 1.4294,                0.79653,                0.63855,                0.70695,                0.53778,                 1.3285,                 1.4257,                 1.9953,               0.001551,               0.001551,               0.001551
                      4,                0.87697,                0.79951,                 1.4187,                 0.5973,                0.51825,                0.56507,                0.39824,                 1.4031,                 1.4846,                 1.8229,               0.001502,               0.001502,               0.001502
                      5,                 0.8365,                0.76884,                 1.3876,                0.71017,                0.62651,                0.67593,                0.51961,                 1.4212,                 1.4005,                 2.0266,               0.001447,               0.001447,               0.001447
                      6,                 0.8077,                0.73447,                 1.3641,                0.60482,                0.57166,                0.57107,                0.46889,                 1.2374,                  1.307,                 1.7797,              0.0013919,              0.0013919,              0.0013919
                      7,                0.81081,                0.76442,                 1.3737,                0.64779,                0.56627,                0.60436,                0.36181,                 1.5709,                 1.6112,                 2.0658,              0.0013369,              0.0013369,              0.0013369
                      8,                0.79109,                0.71438,                 1.3458,                 0.5063,                0.34601,                0.36204,                0.19857,                 1.8108,                 1.8947,                 2.1673,              0.0012819,              0.0012819,              0.0012819
                      9,                0.77428,                 0.7325,                 1.3492,                0.80706,                0.65519,                0.74292,                0.59279,                 1.2699,                 1.2089,                 1.8083,              0.0012269,              0.0012269,              0.0012269
                     10,                0.74716,                0.69618,                 1.3187,                0.83916,                0.62651,                0.74896,                0.62106,                 1.2238,                 1.0208,                 1.8361,              0.0011719,              0.0011719,              0.0011719
                     11,                0.75865,                0.72623,                 1.3241,                0.78045,                0.63855,                0.72455,                0.58093,                 1.2133,                 1.0225,                 1.7745,              0.0011169,              0.0011169,              0.0011169
                     12,                0.72211,                0.69203,                 1.3008,                0.73816,                0.68675,                0.72563,                0.59014,                 1.2362,                 1.1815,                 1.8493,              0.0010619,              0.0010619,              0.0010619
                     13,                0.70836,                0.64592,                 1.2979,                0.75166,                 0.6747,                0.71635,                0.57764,                 1.1721,                  1.114,                 1.7664,              0.0010069,              0.0010069,              0.0010069
                     14,                0.68437,                0.67242,                  1.282,                 0.8576,                 0.6747,                0.76864,                0.61148,                 1.2072,                0.88088,                 1.7478,             0.00095186,             0.00095186,             0.00095186
                     15,                0.70782,                0.67012,                 1.2981,                  0.732,                0.62651,                0.70437,                0.56389,                 1.2256,                 1.2445,                 1.7086,             0.00089685,             0.00089685,             0.00089685
                     16,                0.72894,                0.66515,                 1.3095,                0.69215,                0.62307,                0.68149,                0.55103,                 1.2675,                 1.1419,                 1.8088,             0.00084184,             0.00084184,             0.00084184
                     17,                0.68217,                0.64366,                 1.2624,                0.83063,                0.64995,                0.75116,                0.59797,                 1.1483,                0.95309,                 1.5725,             0.00078682,             0.00078682,             0.00078682
                     18,                0.66033,                 0.6037,                 1.2482,                0.77916,                 0.6747,                  0.752,                0.60349,                  1.107,                 1.0491,                 1.5466,             0.00073181,             0.00073181,             0.00073181
                     19,                0.64342,                0.59984,                 1.2451,                0.82721,                0.68675,                0.77068,                0.62171,                 1.1416,                0.95373,                 1.5984,              0.0006768,              0.0006768,              0.0006768
                     20,                0.65635,                0.61204,                 1.2456,                0.79617,                 0.6747,                0.76053,                0.62946,                 1.1515,                0.97871,                 1.6248,             0.00062179,             0.00062179,             0.00062179
                     21,                0.64407,                0.56745,                 1.3659,                0.86216,                0.67826,                0.77456,                0.63571,                 1.1544,                 0.9494,                 1.6052,             0.00056678,             0.00056678,             0.00056678
                     22,                0.60953,                0.53435,                 1.3054,                0.80203,                0.73217,                0.79751,                0.65018,                 1.1641,                0.95205,                 1.6469,             0.00051177,             0.00051177,             0.00051177
                     23,                0.57598,                0.51298,                 1.2737,                 0.8321,                0.71657,                0.79297,                0.65096,                 1.0905,                0.88616,                 1.5973,             0.00045676,             0.00045676,             0.00045676
